"Territory","year","recruitment_female","recruitment_male","breeding_proba","hatching_success","productivity","wind_b2_prebreeding","wind_a7_prebreeding","rainfall_prebredding","min_T_prebreeding","max_T_prebreeding","wind_b2_incubation","wind_a7_incubation","rainfall_incubation","min_T_incubation","max_T_incubation","wind_b2_rearing","wind_a7_rearing","rainfall_rearing","min_T_rearing","max_T_rearing","number_recruitment","fledging_success"
24,2021,0,0,1,1,2,14,0,156.543,-1.408,11.386,10,0,49.366,4.358,10.656,35,0,206.06,4.613,25.324,"0",1
24,2022,0,0,1,1,1,29,1,65.94,0.964,14.001,11,0,122.616,3.499,12.35,42,1,136.506,2.176,28.44,"0",1
25,2009,0,0,1,1,1,19,0,240.044,-3.034,8.614,5,1,22.289,0.631,11.605,37,0,262.905,5.795,26.043,"0",1
25,2010,0,0,1,1,2,22,0,181.119,-3.888,10.42,7,0,102.61,-1.978,9.22,43,1,258.71,6.196,24.23,"0",1
25,2011,0,0,1,0,0,22,2,141.86,-2.405,10.675,8,0,139.157,4.237,10.242,45,0,164.137,7.508,24.069,"0",0
25,2012,0,1,1,0,0,11,4,33.938,-6.259,10.902,7,1,2.311,2.75,12.935,35,1,277.738,6.292,25.236,"M",0
25,2013,0,0,1,1,1,16,1,93.005,-2.924,10.167,11,1,87.961,-3.021,10.599,31,1,361.245,1.967,22.364,"0",1
25,2014,0,0,0,0,0,21,0,250.36,3.176,10.406,12,0,36.178,4.744,10.781,25,0,158.286,5.692,24.877,"0",0
25,2015,0,0,1,1,2,19,3,71.217,-0.91,11.708,9,1,37.682,3.779,13.169,44,0,221.368,4.812,25.676,"0",1
25,2016,0,1,0,0,0,31,0,126.337,0.443,11.838,6,1,68.744,2.126,10.65,29,2,269.646,4.753,23.518,"M",0
25,2017,1,0,0,0,0,19,2,188.453,-2.667,10.727,10,0,45.745,5.729,12.96,41,0,221.968,6.568,25.507,"F",0
25,2018,0,0,0,0,0,13,1,242.101,0.266,12.782,5,0,134.759,-4.839,11.895,48,1,381.691,3.706,23.809,"0",0
